,test_subject,window_size,cnn_kernel_size,cnn_layers,cnn_activation,cnn_output_size,dense_activation,dense_layers,optim_loss,optim_lr,optim_optimizer,training_epochs,training_batch_size,left_validation_rmse,right_validation_rmse
75,AB6,80,10,4,tanh,5,relu,"(1, 10)",mean_absolute_error,0.001,adagrad,200,128,17.861616639685877,16.976687434660633
76,AB7,80,10,4,tanh,5,relu,"(1, 10)",mean_absolute_error,0.001,adagrad,200,128,17.025613892894665,16.932829131679924
77,AB8,80,10,4,tanh,5,relu,"(1, 10)",mean_absolute_error,0.001,adagrad,200,128,16.949774634862823,17.32782518498059
78,AB9,80,10,4,tanh,5,relu,"(1, 10)",mean_absolute_error,0.001,adagrad,200,128,18.026027237870878,18.48216249526805
79,AB10,80,10,4,tanh,5,relu,"(1, 10)",mean_absolute_error,0.001,adagrad,200,128,17.773125570280687,17.824094801511897
80,AB1,100,20,4,tanh,3,relu,"(2, 10)",mean_absolute_error,0.1,sgd,200,128,16.927632790194252,16.66414456821507
81,AB2,100,20,4,tanh,3,relu,"(2, 10)",mean_absolute_error,0.1,sgd,200,128,17.779874944809393,17.19503793322066
82,AB3,100,20,4,tanh,3,relu,"(2, 10)",mean_absolute_error,0.1,sgd,200,128,16.83091804912796,18.084004801919246
83,AB4,100,20,4,tanh,3,relu,"(2, 10)",mean_absolute_error,0.1,sgd,200,128,17.43613903276386,17.122252419006593
84,AB5,100,20,4,tanh,3,relu,"(2, 10)",mean_absolute_error,0.1,sgd,200,128,17.342668809149917,16.787589686387093
85,AB6,100,20,4,tanh,3,relu,"(2, 10)",mean_absolute_error,0.1,sgd,200,128,17.068236378692745,16.675321073969513
86,AB7,100,20,4,tanh,3,relu,"(2, 10)",mean_absolute_error,0.1,sgd,200,128,16.75542665454877,16.684066281077424
87,AB8,100,20,4,tanh,3,relu,"(2, 10)",mean_absolute_error,0.1,sgd,200,128,16.75489199580168,17.722163962085425
88,AB9,100,20,4,tanh,3,relu,"(2, 10)",mean_absolute_error,0.1,sgd,200,128,17.955302431152823,18.12971940228191
89,AB10,100,20,4,tanh,3,relu,"(2, 10)",mean_absolute_error,0.1,sgd,200,128,17.527924563052565,18.266521172772006
90,AB1,100,10,3,relu,5,sigmoid,"(2, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
91,AB2,100,10,3,relu,5,sigmoid,"(2, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
92,AB3,100,10,3,relu,5,sigmoid,"(2, 20)",mean_absolute_error,0.1,adam,200,128,25.0,28.809374264954116
93,AB4,100,10,3,relu,5,sigmoid,"(2, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
94,AB5,100,10,3,relu,5,sigmoid,"(2, 20)",mean_absolute_error,0.1,adam,200,128,25.0,24.976581600909174
95,AB6,100,10,3,relu,5,sigmoid,"(2, 20)",mean_absolute_error,0.1,adam,200,128,26.725725977793104,28.813390559724436
96,AB7,100,10,3,relu,5,sigmoid,"(2, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
97,AB8,100,10,3,relu,5,sigmoid,"(2, 20)",mean_absolute_error,0.1,adam,200,128,28.887998384114944,23.08894977382259
98,AB9,100,10,3,relu,5,sigmoid,"(2, 20)",mean_absolute_error,0.1,adam,200,128,25.13389627193103,28.82270670410636
99,AB10,100,10,3,relu,5,sigmoid,"(2, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
100,AB1,100,10,4,sigmoid,5,sigmoid,"(1, 30)",mean_absolute_error,0.001,rmsprop,200,128,20.73844004693671,20.082557984536702
101,AB2,100,10,4,sigmoid,5,sigmoid,"(1, 30)",mean_absolute_error,0.001,rmsprop,200,128,21.248452367729925,21.076440528539415
102,AB3,100,10,4,sigmoid,5,sigmoid,"(1, 30)",mean_absolute_error,0.001,rmsprop,200,128,22.69475642411217,20.931885109707103
103,AB4,100,10,4,sigmoid,5,sigmoid,"(1, 30)",mean_absolute_error,0.001,rmsprop,200,128,20.12940031460725,20.869379851958886
104,AB5,100,10,4,sigmoid,5,sigmoid,"(1, 30)",mean_absolute_error,0.001,rmsprop,200,128,20.91125244688324,21.7308068583063
105,AB6,100,10,4,sigmoid,5,sigmoid,"(1, 30)",mean_absolute_error,0.001,rmsprop,200,128,21.679369227375833,20.388233068248947
106,AB7,100,10,4,sigmoid,5,sigmoid,"(1, 30)",mean_absolute_error,0.001,rmsprop,200,128,20.312810772573812,20.859921511563627
107,AB8,100,10,4,sigmoid,5,sigmoid,"(1, 30)",mean_absolute_error,0.001,rmsprop,200,128,21.052880904054657,20.484597255582187
108,AB9,100,10,4,sigmoid,5,sigmoid,"(1, 30)",mean_absolute_error,0.001,rmsprop,200,128,21.133063360965657,21.58968366573467
109,AB10,100,10,4,sigmoid,5,sigmoid,"(1, 30)",mean_absolute_error,0.001,rmsprop,200,128,20.692355043117974,21.212865144964848
110,AB1,80,30,3,relu,3,sigmoid,"(1, 10)",mean_absolute_error,0.1,rmsprop,200,128,25.0,28.900968599739535
111,AB2,80,30,3,relu,3,sigmoid,"(1, 10)",mean_absolute_error,0.1,rmsprop,200,128,22.4213445133218,25.0
112,AB3,80,30,3,relu,3,sigmoid,"(1, 10)",mean_absolute_error,0.1,rmsprop,200,128,25.788547161558153,32.12794650128763
113,AB4,80,30,3,relu,3,sigmoid,"(1, 10)",mean_absolute_error,0.1,rmsprop,200,128,28.786285576993947,24.99967416916018
114,AB5,80,30,3,relu,3,sigmoid,"(1, 10)",mean_absolute_error,0.1,rmsprop,200,128,28.809907229847507,28.770118579420476
115,AB6,80,30,3,relu,3,sigmoid,"(1, 10)",mean_absolute_error,0.1,rmsprop,200,128,24.94603655851476,25.00110091877919
116,AB7,80,30,3,relu,3,sigmoid,"(1, 10)",mean_absolute_error,0.1,rmsprop,200,128,28.181013436754743,28.811029188457645
117,AB8,80,30,3,relu,3,sigmoid,"(1, 10)",mean_absolute_error,0.1,rmsprop,200,128,25.0,25.000088152972648
118,AB9,80,30,3,relu,3,sigmoid,"(1, 10)",mean_absolute_error,0.1,rmsprop,200,128,23.171602539751337,22.36877940422727
119,AB10,80,30,3,relu,3,sigmoid,"(1, 10)",mean_absolute_error,0.1,rmsprop,200,128,24.999806916192966,28.83202045419352
120,AB1,100,30,2,relu,1,relu,"(1, 30)",mean_absolute_error,0.001,sgd,200,128,16.998828801143684,16.736661969845557
121,AB2,100,30,2,relu,1,relu,"(1, 30)",mean_absolute_error,0.001,sgd,200,128,18.08961075642954,17.471984899225543
122,AB3,100,30,2,relu,1,relu,"(1, 30)",mean_absolute_error,0.001,sgd,200,128,17.623365861952237,18.92860118071289
123,AB4,100,30,2,relu,1,relu,"(1, 30)",mean_absolute_error,0.001,sgd,200,128,17.154749655325304,17.082013736524644
124,AB5,100,30,2,relu,1,relu,"(1, 30)",mean_absolute_error,0.001,sgd,200,128,16.984765857342715,17.099706857685774
125,AB6,100,30,2,relu,1,relu,"(1, 30)",mean_absolute_error,0.001,sgd,200,128,17.076921320813845,16.800120218517304
126,AB7,100,30,2,relu,1,relu,"(1, 30)",mean_absolute_error,0.001,sgd,200,128,16.909788954023735,16.75300671900491
127,AB8,100,30,2,relu,1,relu,"(1, 30)",mean_absolute_error,0.001,sgd,200,128,16.91132052371798,17.333522109880455
128,AB9,100,30,2,relu,1,relu,"(1, 30)",mean_absolute_error,0.001,sgd,200,128,17.913925458907265,18.58395765110189
129,AB10,100,30,2,relu,1,relu,"(1, 30)",mean_absolute_error,0.001,sgd,200,128,17.84719408687548,18.057504958193967
130,AB1,100,10,4,sigmoid,3,tanh,"(0, 1)",mean_absolute_error,0.0001,rmsprop,200,128,6.3629739285994935,5.234397975179758
131,AB2,100,10,4,sigmoid,3,tanh,"(0, 1)",mean_absolute_error,0.0001,rmsprop,200,128,9.215406899236495,8.407183629949172
132,AB3,100,10,4,sigmoid,3,tanh,"(0, 1)",mean_absolute_error,0.0001,rmsprop,200,128,9.440925340388288,10.170795277951626
133,AB4,100,10,4,sigmoid,3,tanh,"(0, 1)",mean_absolute_error,0.0001,rmsprop,200,128,7.093139618585742,6.624434507828178
134,AB5,100,10,4,sigmoid,3,tanh,"(0, 1)",mean_absolute_error,0.0001,rmsprop,200,128,6.63939562911283,6.54852544250152
135,AB6,100,10,4,sigmoid,3,tanh,"(0, 1)",mean_absolute_error,0.0001,rmsprop,200,128,6.088301533927256,5.089465314308223
136,AB7,100,10,4,sigmoid,3,tanh,"(0, 1)",mean_absolute_error,0.0001,rmsprop,200,128,5.912756846437977,5.675928956363899
137,AB8,100,10,4,sigmoid,3,tanh,"(0, 1)",mean_absolute_error,0.0001,rmsprop,200,128,6.329023095116513,7.185228562713929
138,AB9,100,10,4,sigmoid,3,tanh,"(0, 1)",mean_absolute_error,0.0001,rmsprop,200,128,9.135544229942658,10.3920964231193
139,AB10,100,10,4,sigmoid,3,tanh,"(0, 1)",mean_absolute_error,0.0001,rmsprop,200,128,8.096241114845029,10.344383124201311
140,AB1,100,30,4,relu,1,sigmoid,"(1, 20)",mean_absolute_error,0.001,adam,200,128,20.861786363290744,20.43798109708283
141,AB2,100,30,4,relu,1,sigmoid,"(1, 20)",mean_absolute_error,0.001,adam,200,128,21.722411748721388,23.433416643908668
142,AB3,100,30,4,relu,1,sigmoid,"(1, 20)",mean_absolute_error,0.001,adam,200,128,21.800568706070088,21.320645622077883
143,AB4,100,30,4,relu,1,sigmoid,"(1, 20)",mean_absolute_error,0.001,adam,200,128,21.579020985372694,20.94499336046977
144,AB5,100,30,4,relu,1,sigmoid,"(1, 20)",mean_absolute_error,0.001,adam,200,128,20.555174517142976,21.493946670081066
145,AB6,100,30,4,relu,1,sigmoid,"(1, 20)",mean_absolute_error,0.001,adam,200,128,20.94168004140505,21.172974046981157
146,AB7,100,30,4,relu,1,sigmoid,"(1, 20)",mean_absolute_error,0.001,adam,200,128,21.12076029004157,22.179900240049808
147,AB8,100,30,4,relu,1,sigmoid,"(1, 20)",mean_absolute_error,0.001,adam,200,128,22.30191750857382,20.20274220530126
148,AB9,100,30,4,relu,1,sigmoid,"(1, 20)",mean_absolute_error,0.001,adam,200,128,21.35008161652766,21.857587160281362
149,AB10,100,30,4,relu,1,sigmoid,"(1, 20)",mean_absolute_error,0.001,adam,200,128,21.12975936478866,21.94797320279535
150,AB1,120,20,2,relu,5,tanh,"(2, 30)",mean_absolute_error,0.01,adagrad,200,128,6.182464217104982,4.810471436016805
151,AB2,120,20,2,relu,5,tanh,"(2, 30)",mean_absolute_error,0.01,adagrad,200,128,9.116162051362883,8.16097595882356
152,AB3,120,20,2,relu,5,tanh,"(2, 30)",mean_absolute_error,0.01,adagrad,200,128,6.90594631768304,7.9663917636433625
153,AB4,120,20,2,relu,5,tanh,"(2, 30)",mean_absolute_error,0.01,adagrad,200,128,6.5855159681196405,6.2903504797173735
154,AB5,120,20,2,relu,5,tanh,"(2, 30)",mean_absolute_error,0.01,adagrad,200,128,6.679621488341114,5.956397456868561
155,AB6,120,20,2,relu,5,tanh,"(2, 30)",mean_absolute_error,0.01,adagrad,200,128,5.733711710543007,4.849233835620672
156,AB7,120,20,2,relu,5,tanh,"(2, 30)",mean_absolute_error,0.01,adagrad,200,128,5.83642921485924,5.64166112279634
157,AB8,120,20,2,relu,5,tanh,"(2, 30)",mean_absolute_error,0.01,adagrad,200,128,6.299284067099297,7.288638232440323
158,AB9,120,20,2,relu,5,tanh,"(2, 30)",mean_absolute_error,0.01,adagrad,200,128,9.058169366191027,10.171855810496893
159,AB10,120,20,2,relu,5,tanh,"(2, 30)",mean_absolute_error,0.01,adagrad,200,128,7.915758034478527,9.723493217144108
160,AB1,80,10,4,sigmoid,3,relu,"(1, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
161,AB2,80,10,4,sigmoid,3,relu,"(1, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
162,AB3,80,10,4,sigmoid,3,relu,"(1, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
163,AB4,80,10,4,sigmoid,3,relu,"(1, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
164,AB5,80,10,4,sigmoid,3,relu,"(1, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
165,AB6,80,10,4,sigmoid,3,relu,"(1, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
166,AB7,80,10,4,sigmoid,3,relu,"(1, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
167,AB8,80,10,4,sigmoid,3,relu,"(1, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
168,AB9,80,10,4,sigmoid,3,relu,"(1, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
169,AB10,80,10,4,sigmoid,3,relu,"(1, 20)",mean_absolute_error,0.1,adam,200,128,25.0,25.0
170,AB1,80,30,2,tanh,5,tanh,"(0, 1)",mean_absolute_error,0.01,rmsprop,200,128,7.168364621481384,7.076748083415698
171,AB2,80,30,2,tanh,5,tanh,"(0, 1)",mean_absolute_error,0.01,rmsprop,200,128,11.180686881382746,12.930165266292633
172,AB3,80,30,2,tanh,5,tanh,"(0, 1)",mean_absolute_error,0.01,rmsprop,200,128,14.896577264349718,15.846667905367456
173,AB4,80,30,2,tanh,5,tanh,"(0, 1)",mean_absolute_error,0.01,rmsprop,200,128,8.770408846321553,7.733211622480672
174,AB5,80,30,2,tanh,5,tanh,"(0, 1)",mean_absolute_error,0.01,rmsprop,200,128,7.855929088192027,7.904040465478152
175,AB6,80,30,2,tanh,5,tanh,"(0, 1)",mean_absolute_error,0.01,rmsprop,200,128,7.099687273922622,7.434395540209984
176,AB7,80,30,2,tanh,5,tanh,"(0, 1)",mean_absolute_error,0.01,rmsprop,200,128,8.03890501142319,6.335823396670505
177,AB8,80,30,2,tanh,5,tanh,"(0, 1)",mean_absolute_error,0.01,rmsprop,200,128,6.983995056840547,11.428561664867482
